id,title,date,location,description,link
1,VISA Inc. Company Tour,Fri Dec 06,VISA Inc. Global Headquarters,Exclusive tour of VISA's global headquarters with networking opportunities,https://docs.google.com/forms/d/e/1FAIpQLSfZTg5yowLtoFDGqoGrQfPfqnc1mDcg4O6X_A7SQEM3Y-L_cQ/viewform
2,LinkedIn Workshop,Mon Nov 18,Dante 215,Learn how to optimize your LinkedIn profile for career success,https://docs.google.com/forms/d/e/1FAIpQLSfiwUOC4ojq7UqRu7RPYB9KrRl8w6ls-OaIbMYSDIdklix35A/viewform
3,Google Analytics Workshop,Tue Oct 01,BUG Innovation Lab,Hands-on workshop covering Google Analytics fundamentals for marketers,https://docs.google.com/forms/d/1w6r4n0mbMAwyW0q1f-fGqRD4fgiwQ9zfRnB1ikdOXSo/edit
